EXP_rej_stand,,species.ID,broad_taxonomy.1,family_taxonomy.1,activity_pattern.1,rainforest_endemism,region_endemism,range_extent,broad_ecoregion.1,TD_stand,R2_stand,Pi_stand,h_stand,gen_time_stand,EXP_rej_stand,elev.mean.stand,elevation.index,elev.range.stand,EXP_rej_stand,is_amphibian,is_diurnal,gen_time_stand,is_humid_real,is_arid,SVL,is_arboreal
-0.933014414,31,Heterixalus_alboguttatus_10,1,4,1,2,1,1,2,-0.339,0.196,0.071,-0.066,-0.311768754,-0.933014414,-1.456880775,4.24,-1.387966476,-0.933014414,1,0,-0.311768754,0,1,-0.8571429,1
-0.853758196,42,Leioheterodon_modestus_6,0,5,2,1,2,2,3,0.153,0.038,1.903,0.364,1.064693737,-0.853758196,-1.174188161,276,0.247337213,-0.853758196,0,1,1.064693737,1,0,4.71428571,0
-0.774099661,65,Zonosaurus_madagascariensis_1,0,3,2,1,2,2,1,0.662,0.896,2.418,0.845,0.376462491,-0.774099661,0.053041597,362,1.452410481,-0.774099661,0,1,0.376462491,0,0,-0.3333333,0
-0.702286285,32,Heterixalus_alboguttatus_3,1,4,1,2,1,1,2,-0.003,-0.312,0.354,0.702,-0.311768754,-0.702286285,-0.629813871,418,0.724657531,-0.702286285,1,0,-0.311768754,0,1,-0.8571429,1
-0.518629109,30,Geckolepis_maculata_1,0,2,1,1,2,3,1,0.14,-0.086,2.076,0.497,-0.311768754,-0.518629109,-0.847086066,553,0.557702442,-0.518629109,0,0,-0.311768754,0,0,-0.6666667,1
-0.428711521,19,Dromicodryas_quadrilineatus_3,0,5,2,1,2,3,1,0.63,0.331,0.647,-0.002,1.064693737,-0.428711521,-0.851861279,266,0.639039537,-0.428711521,0,1,1.064693737,0,0,4.71428571,0
-0.403164465,18,Dromicodryas_bernieri_1,0,5,2,1,2,4,1,0.584,-0.255,0.204,0.435,1.064693737,-0.403164465,-0.734868559,529,0.767466528,-0.403164465,0,1,1.064693737,0,0,4.28571429,0
-0.330747616,16,Calumma_nasutum_6,0,1,2,2,1,1,2,-0.816,0.647,2.005,0.685,-0.311768754,-0.330747616,0.043491171,10,-0.989842803,-0.330747616,0,1,-0.311768754,0,1,-0.7714286,1
-0.293935717,61,Phelsuma_lineata_south,0,2,2,2,1,1,2,-0.661,0.016,0.759,-0.04,-0.311768754,-0.293935717,-1.229103111,450,1.109938504,-0.293935717,0,1,-0.311768754,0,1,-0.7428571,1
-0.2744234,60,Phelsuma_lineata_north,0,2,2,2,1,1,2,-0.521,-0.346,1.556,0.24,-0.311768754,-0.2744234,-0.3480763,294,0.703253032,-0.2744234,0,1,-0.311768754,0,1,-0.7428571,1
-0.25511224,25,Furcifer_pardalis_14,0,1,2,1,2,2,1,-0.324,-0.109,-1,-1,-0.311768754,-0.25511224,-1.214777472,362,0.746062029,-0.25511224,0,1,-0.311768754,0,0,0.19047619,1
-0.245054344,2,Aglyptodactylus_madagascariensis_8,1,6,1,1,2,2,1,-2.064,1.584,-0.603,-0.044,-0.311768754,-0.245054344,1.363837585,363,3.22898386,-0.245054344,1,0,-0.311768754,0,1,-0.8047619,0
-0.185913917,21,Furcifer_oustaleti_2,0,1,2,1,1,1,3,-0.792,0.489,0.024,-0.737,-0.311768754,-0.185913917,-1.274228875,98.7,-0.812185465,-0.185913917,0,1,-0.311768754,1,0,0.35238095,1
-0.168614336,55,Mantidactylus_melanopleura_a147,1,6,2,2,1,1,2,0.74,-0.808,-0.953,-0.886,-0.311768754,-0.168614336,0.521012478,38.5,-0.486837087,-0.168614336,1,1,-0.311768754,0,1,-0.8095238,0
-0.165798125,28,Furcifer_pardalis_8,0,1,2,1,1,1,3,0.223,0.004,-0.583,0.004,-0.311768754,-0.165798125,-1.262529603,164,-0.334865147,-0.165798125,0,1,-0.311768754,1,0,0.19047619,1
-0.13642907,13,Boophis_quasiboehmei_a,1,6,1,1,2,2,1,0.28,-0.041,-0.923,-0.815,-0.311768754,-0.13642907,0.604578707,63.9,-0.486837087,-0.13642907,1,0,-0.311768754,0,1,-0.852381,1
-0.133612859,33,Heterixalus_alboguttatus_4,1,4,1,2,1,1,2,0.451,-0.425,-0.896,-0.751,-0.311768754,-0.133612859,-0.780233083,186,-0.259949402,-0.133612859,1,0,-0.311768754,0,1,-0.8571429,1
-0.130997806,11,Boophis_quasiboehmei_2,1,6,1,1,1,1,2,0.452,-0.786,-1,-1,-0.311768754,-0.130997806,1.793606761,35.9,-0.178612308,-0.130997806,1,0,-0.311768754,0,1,-0.852381,1
-0.120336437,23,Furcifer_pardalis_11,0,1,2,2,2,2,2,-1.038,0.625,-0.675,-0.219,-0.311768754,-0.120336437,-1.198064226,556,0.497769846,-0.120336437,0,1,-0.311768754,0,1,0.19047619,1
-0.116313278,20,Furcifer_oustaleti_1,0,1,2,1,2,3,1,-0.8,0.614,0.208,-0.782,-0.311768754,-0.116313278,0.461322315,555,1.516623977,-0.116313278,0,1,-0.311768754,0,0,0.35238095,1
-0.106858856,12,Boophis_quasiboehmei_3,1,6,1,1,2,2,1,0.689,-0.289,-0.618,-0.192,-0.311768754,-0.106858856,0.790812016,16.7,-0.467573038,-0.106858856,1,0,-0.311768754,0,1,-0.852381,1
-0.084530328,9,Boophis_madagascariensis_a43,1,6,1,1,2,2,1,0.55,-0.402,-0.902,-0.765,-0.311768754,-0.084530328,0.883928671,71.2,1.152747502,-0.084530328,1,0,-0.311768754,0,1,-0.7047619,1
-0.084128012,10,Boophis_marojezensis_b2,1,6,1,1,2,2,1,0.113,0.884,-0.666,-0.231,-0.311768754,-0.084128012,0.489973593,23.9,-0.486837087,-0.084128012,1,0,-0.311768754,0,1,-0.8714286,1
-0.070650432,5,Boophis_luteus_14,1,6,1,1,2,2,1,0.76,0.061,-0.475,0.159,-0.311768754,-0.070650432,1.02957267,23,-0.313460649,-0.070650432,1,0,-0.311768754,0,1,-0.8095238,1
-0.065219168,26,Furcifer_pardalis_3,0,1,2,2,1,1,2,-0.847,0.41,-0.222,-0.034,-0.311768754,-0.065219168,-1.402682106,11.6,-1.253118135,-0.065219168,0,1,-0.311768754,0,1,0.19047619,1
-0.06401222,54,Mantidactylus_betsileanus_4,1,6,1,1,2,2,1,0.004,-0.458,-0.62,-0.085,-0.311768754,-0.06401222,0.934068408,35.8,0.478505797,-0.06401222,1,0,-0.311768754,0,1,-0.8666667,0
-0.048321903,64,Scaphiophryne_gottlebei_65,1,7,1,1,2,2,1,-0.433,0.264,-1,-1,-0.311768754,-0.048321903,0.537725724,8.15,-1.03479225,-0.048321903,1,0,-0.311768754,0,0,-0.8571429,0
-0.046511482,34,Heterixalus_alboguttatus_5,1,4,1,2,1,1,2,-1.807,1.764,0.141,0.491,-0.311768754,-0.046511482,-0.868574525,248,-0.015938119,-0.046511482,1,0,-0.311768754,0,1,-0.8571429,1
-0.029010743,43,Liopholidophis_sexlineatus_1,0,5,2,1,1,1,2,0.311,-0.233,0.295,0.119,1.064693737,-0.029010743,1.578722173,62.6,0.788871026,-0.029010743,0,1,1.064693737,0,1,5.5952381,0
-0.011711162,58,Mimophis_occultus_2,0,5,2,1,2,3,1,0.662,-0.549,0.916,0.778,1.064693737,-0.011711162,-1.0786839,463,1.02432051,-0.011711162,0,1,1.064693737,0,0,1.95238095,0
-0.009699583,27,Furcifer_pardalis_7,0,1,2,1,1,1,3,-0.251,-0.3,1.533,0.784,-0.311768754,-0.009699583,-0.281223317,178,0.136033821,-0.009699583,0,1,-0.311768754,1,0,0.19047619,1
-0.007688004,35,Heterixalus_betsileo_11,1,4,1,2,1,1,2,0.065,0.151,-0.242,0.14,-0.311768754,-0.007688004,1.244457258,1.64,-1.096865295,-0.007688004,1,0,-0.311768754,0,1,-0.8666667,1
-0.005676425,59,Oplurus_cuvieri_6,0,8,2,1,1,1,3,-0.246,-0.086,2.037,0.867,0.376462491,-0.005676425,-0.648914723,24.1,-1.017668651,-0.005676425,0,1,0.376462491,1,0,0.77619048,1
-0.000245161,36,Heterixalus_betsileo_5,1,4,1,1,2,2,1,-0.617,0.32,0.009,0.613,-0.311768754,-0.000245161,0.666656477,81.4,0.369342855,-0.000245161,1,0,-0.311768754,0,1,-0.8666667,1
0.013835893,62,Platypelis_tuberifera_a6,1,7,2,1,2,2,1,0.059,-0.131,1.219,0.63,-0.311768754,0.013835893,0.836176541,64.6,-0.015938119,0.013835893,1,1,-0.311768754,0,1,-0.8095238,1
0.062113793,17,Calumma_nasutum_7,0,1,2,1,2,2,1,-0.713,0.377,0.823,0.601,-0.311768754,0.062113793,0.561601789,57.1,-0.058747116,0.062113793,0,1,-0.311768754,0,1,-0.7714286,1
0.079614531,6,Boophis_luteus_3,1,6,1,1,2,2,1,0.667,-0.65,-0.541,-0.24,-0.311768754,0.079614531,1.0773248,13.4,-0.244966253,0.079614531,1,0,-0.311768754,0,1,-0.8095238,1
0.079614531,15,Calumma_boettgeri_2,0,1,2,1,2,2,1,-0.286,-0.086,-0.016,0.325,-0.311768754,0.079614531,0.685757329,8.62,-0.777938267,0.079614531,0,1,-0.311768754,0,0,-0.7380952,1
0.079614531,38,Heterixalus_madagascariensis_2,1,4,1,2,1,1,2,-0.412,0.298,-0.555,-0.023,-0.311768754,0.079614531,-1.383103733,88.5,-1.111848444,0.079614531,1,0,-0.311768754,0,1,-0.8333333,1
0.093695585,22,Furcifer_pardalis_1,0,1,2,2,1,1,2,-0.398,-0.176,0.451,0.621,-0.311768754,0.093695585,-1.3711657,68.3,-0.857134912,0.093695585,0,1,-0.311768754,0,1,0.19047619,1
0.113006745,8,Boophis_madagascariensis_a1,1,6,1,2,1,1,2,0.204,-0.041,-0.33,0.056,-0.311768754,0.113006745,0.759773131,60.5,1.152747502,0.113006745,1,0,-0.311768754,0,1,-0.7047619,1
0.11642643,46,Madascincus_melanopleura_2,0,9,2,2,1,1,2,-0.725,0.602,-0.352,0.273,0.376462491,0.11642643,0.769323558,0.103,-1.379404676,0.11642643,0,1,0.376462491,0,1,-0.7380952,0
0.117432219,37,Heterixalus_betsileo_8,1,4,1,1,1,1,2,0.394,-0.425,-0.204,0.004,-0.311768754,0.117432219,1.865234957,10.3,-0.129381961,0.117432219,1,0,-0.311768754,0,1,-0.8666667,1
0.118236851,56,Mantidactylus_melanopleura_b12,1,6,2,1,2,2,1,0.215,0.298,-0.849,-0.646,-0.311768754,0.118236851,1.02957267,32.8,-0.317741548,0.118236851,1,1,-0.311768754,0,1,-0.8095238,0
0.129099378,40,Laliostoma_labrosum_2,1,6,2,1,2,3,1,0.265,-0.695,0.131,0.511,-0.311768754,0.129099378,-0.868574525,385,0.831680023,0.129099378,1,1,-0.311768754,0,0,-0.7714286,0
0.152634854,63,Pyxis_arachnoides_22,0,10,2,1,1,1,3,-0.359,0.061,-0.661,-0.318,5.882312457,0.152634854,-1.431094624,145,-0.966297854,0.152634854,0,1,5.882312457,1,0,-0.447619,0
0.156054539,50,Mantella_bernhardi_2,1,6,2,2,1,1,2,0.377,-0.639,-0.583,-0.362,-0.311768754,0.156054539,-0.326587841,13,-1.084022596,0.156054539,1,1,-0.311768754,0,1,-0.9095238,0
0.172750646,39,Laliostoma_labrosum_1,1,6,2,1,2,2,1,0.894,-0.199,-0.849,-0.762,-0.311768754,0.172750646,-0.23108358,248,0.831680023,0.172750646,1,1,-0.311768754,0,0,-0.7714286,0
0.17818191,24,Furcifer_pardalis_13,0,1,2,2,1,1,2,-0.306,-0.131,-0.36,0.133,-0.311768754,0.17818191,-1.124048424,258,-0.356269646,0.17818191,0,1,-0.311768754,0,1,0.19047619,1
0.211574124,45,Madascincus_melanopleura_10,0,9,2,1,2,2,1,-0.542,0.117,-0.762,-0.441,0.376462491,0.211574124,0.685757329,64.1,-0.317741548,0.211574124,0,1,0.376462491,0,1,-0.7380952,0
0.233701494,4,Boophis_elenae_b182,1,6,1,1,2,2,1,-0.713,0.377,-0.711,-0.342,-0.311768754,0.233701494,0.84333936,45.4,0.322252958,0.233701494,1,0,-0.311768754,0,1,-0.7809524,1
0.241747811,53,Mantidactylus_aerumnalis_1,1,6,2,1,2,2,1,0.134,-0.03,-0.646,-0.335,-0.311768754,0.241747811,0.71918382,159,0.938702516,0.241747811,1,1,-0.311768754,0,1,-0.8714286,0
0.255828865,44,Madagascarophis_colubrinus_5,0,5,1,1,1,1,3,1.01,0.433,-0.793,-0.518,1.064693737,0.255828865,-1.193289013,60.8,-1.058337198,0.255828865,0,0,1.064693737,1,0,4.04761905,0
0.267294866,3,Boophis_albilabris_2,1,6,1,1,2,2,1,0.491,-0.357,-0.1,0.464,-0.311768754,0.267294866,1.220581193,49.3,1.302578991,0.267294866,1,0,-0.311768754,0,1,-0.652381,0
0.287410658,7,Boophis_luteus_5,1,6,1,2,1,1,2,0.32,0.162,-0.125,0.36,-0.311768754,0.287410658,0.855277393,1.52,-1.242415885,0.287410658,1,0,-0.311768754,0,1,-0.8095238,1
0.324222556,49,Mantella_bernhardi_1,1,6,2,2,1,1,2,0.106,-0.549,-0.806,-0.676,-0.311768754,0.324222556,-1.372359503,0,-1.437196822,0.324222556,1,1,-0.311768754,0,1,-0.9095238,0
0.337700136,51,Mantella_bernhardi_3,1,6,2,1,1,1,2,0.034,-0.063,-0.679,-0.408,-0.311768754,0.337700136,-0.030524631,0,-1.437196822,0.337700136,1,1,-0.311768754,0,1,-0.9095238,0
0.156054539,52,Mantella_bernhardi_2,1,6,2,1,1,1,2,0.377,-0.638928068,-0.582921153,-0.362351463,-0.311768754,0.156054539,-3.27E-01,13,-1.084023,0.156054539,1,1,-0.311768754,0,1,-0.9095238,0
0.361235612,1,Aglyptodactylus_madagascariensis_2,1,6,1,1,2,2,2,0.208,-0.379,-0.415,0.043,-0.311768754,0.361235612,0.790812016,32.4,1.773477959,0.361235612,1,0,-0.311768754,0,1,-0.8047619,0
0.367873824,14,Boophis_tasymena_1,1,6,1,1,2,2,1,0.578,-0.605,-0.777,-0.487,-0.311768754,0.367873824,1.0773248,18.7,-0.343426947,0.367873824,1,0,-0.311768754,0,1,-0.8904762,1
0.45698678,29,Furcifer_viridis_3,0,1,2,1,2,3,1,0.266,-0.176,-0.668,-0.381,-0.311768754,0.45698678,-0.23108358,401,1.62364647,0.45698678,0,1,-0.311768754,0,0,-0.3380952,1
0.459802991,41,Leioheterodon_madagascariensis_3,0,5,2,1,2,4,1,0.341,-0.289,-0.036,0.526,1.064693737,0.459802991,-0.82321,630,1.452410481,0.459802991,0,1,1.064693737,0,0,6.14285714,0
0.644063641,57,Mimophis_mahfalensis_1,0,5,2,1,2,2,3,1.323,0.32,0.943,0.579,1.064693737,0.644063641,-1.444942742,28.1,-1.298067582,0.644063641,0,1,1.064693737,1,0,1.76190476,0
0.736193967,48,Mantella_baroni_3,1,6,2,1,1,1,2,0.183,-0.492,1.527,0.929,-0.311768754,0.736193967,1.005696604,21.3,-0.536067434,0.736193967,1,1,-0.311768754,0,1,-0.8571429,0
0.957266515,47,Mantella_baroni_2,1,6,2,1,2,2,1,0.473,-0.74,0.951,0.806,-0.311768754,0.957266515,1.363837585,61.7,0.660444035,0.957266515,1,1,-0.311768754,0,1,-0.8571429,0