,species.ID,elevation.mean,elevation.var,elevation.range,elevation.index
1,Aglyptodactylus_madagascariensis_2,9.60E+02,3.11E+04,1.50E+03,3.24E+01
2,Aglyptodactylus_madagascariensis_8,1.20E+03,4.34E+05,2.18E+03,3.63E+02
3,Boophis_albilabris_2,1.14E+03,5.60E+04,1.28E+03,4.93E+01
4,Boophis_elenae_b182,9.82E+02,4.46E+04,8.22E+02,4.54E+01
5,Boophis_luteus_14,1.06E+03,2.44E+04,5.25E+02,2.30E+01
6,Boophis_luteus_3,1.08E+03,1.44E+04,5.57E+02,1.34E+01
7,Boophis_luteus_5,9.87E+02,1.50E+03,9.10E+01,1.52E+00
8,Boophis_madagascariensis_a1,9.47E+02,5.73E+04,1.21E+03,6.05E+01
9,Boophis_madagascariensis_a43,9.99E+02,7.11E+04,1.21E+03,7.12E+01
10,Boophis_marojezensis_b2,8.34E+02,1.99E+04,4.44E+02,2.39E+01
11,Boophis_quasiboehmei_2,1.38E+03,4.97E+04,5.88E+02,3.59E+01
12,Boophis_quasiboehmei_3,9.60E+02,1.60E+04,4.53E+02,1.67E+01
13,Boophis_quasiboehmei_a,8.82E+02,5.63E+04,4.44E+02,6.39E+01
14,Boophis_tasymena_1,1.08E+03,2.03E+04,5.11E+02,1.87E+01
15,Calumma_boettgeri_2,9.16E+02,7.89E+03,3.08E+02,8.62E+00
16,Calumma_nasutum_6,6.47E+02,6.48E+03,2.09E+02,1.00E+01
17,Calumma_nasutum_7,8.64E+02,4.93E+04,6.44E+02,5.71E+01
18,Dromicodryas_bernieri_1,3.21E+02,1.70E+05,1.03E+03,5.29E+02
19,Dromicodryas_quadrilineatus_3,2.72E+02,7.24E+04,9.70E+02,2.66E+02
20,Furcifer_oustaleti_1,8.22E+02,4.56E+05,1.38E+03,5.55E+02
21,Furcifer_oustaleti_2,9.51E+01,9.38E+03,2.92E+02,9.87E+01
22,Furcifer_pardalis_1,5.45E+01,3.72E+03,2.71E+02,6.83E+01
23,Furcifer_pardalis_11,1.27E+02,7.06E+04,9.04E+02,5.56E+02
24,Furcifer_pardalis_13,1.58E+02,4.07E+04,5.05E+02,2.58E+02
25,Furcifer_pardalis_14,1.20E+02,4.36E+04,1.02E+03,3.62E+02
26,Furcifer_pardalis_3,4.13E+01,4.80E+02,8.60E+01,1.16E+01
27,Furcifer_pardalis_7,5.11E+02,9.11E+04,7.35E+02,1.78E+02
28,Furcifer_pardalis_8,1.00E+02,1.64E+04,5.15E+02,1.64E+02
29,Furcifer_viridis_3,5.32E+02,2.13E+05,1.43E+03,4.01E+02
30,Geckolepis_maculata_1,2.74E+02,1.51E+05,9.32E+02,5.53E+02
31,Heterixalus_alboguttatus_10,1.86E+01,7.89E+01,2.30E+01,4.24E+00
32,Heterixalus_alboguttatus_3,3.65E+02,1.53E+05,1.01E+03,4.18E+02
33,Heterixalus_alboguttatus_4,3.02E+02,5.63E+04,5.50E+02,1.86E+02
34,Heterixalus_alboguttatus_5,2.65E+02,6.57E+04,6.64E+02,2.48E+02
35,Heterixalus_betsileo_11,1.15E+03,1.88E+03,1.59E+02,1.64E+00
36,Heterixalus_betsileo_5,9.08E+02,7.40E+04,8.44E+02,8.14E+01
37,Heterixalus_betsileo_8,1.41E+03,1.45E+04,6.11E+02,1.03E+01
38,Heterixalus_madagascariensis_2,4.95E+01,4.38E+03,1.52E+02,8.85E+01
39,Laliostoma_labrosum_1,5.32E+02,1.32E+05,1.06E+03,2.48E+02
40,Laliostoma_labrosum_2,2.65E+02,1.02E+05,1.06E+03,3.85E+02
41,Leioheterodon_madagascariensis_3,2.84E+02,1.79E+05,1.35E+03,6.30E+02
42,Leioheterodon_modestus_6,1.37E+02,3.78E+04,7.87E+02,2.76E+02
43,Liopholidophis_sexlineatus_1,1.29E+03,8.05E+04,1.04E+03,6.26E+01
44,Madagascarophis_colubrinus_5,1.29E+02,7.83E+03,1.77E+02,6.08E+01
45,Madascincus_melanopleura_10,9.16E+02,5.87E+04,5.23E+02,6.41E+01
46,Madascincus_melanopleura_2,9.51E+02,9.84E+01,2.70E+01,1.03E-01
47,Mantella_baroni_2,1.20E+03,7.38E+04,9.80E+02,6.17E+01
48,Mantella_baroni_3,1.05E+03,2.24E+04,4.21E+02,2.13E+01
49,Mantella_bernhardi_1,5.40E+01,0.00E+00,0.00E+00,0.00E+00
50,Mantella_bernhardi_2,4.92E+02,6.41E+03,1.65E+02,1.30E+01
51,Mantella_bernhardi_3,6.16E+02,0.00E+00,0.00E+00,0.00E+00
52,Mantella_bernhardi_3,6.16E+02,0.00E+00,0.00E+00,0.00E+00
53,Mantidactylus_aerumnalis_1,9.30E+02,1.48E+05,1.11E+03,1.59E+02
54,Mantidactylus_betsileanus_4,1.02E+03,3.66E+04,8.95E+02,3.58E+01
55,Mantidactylus_melanopleura_a147,8.47E+02,3.26E+04,4.44E+02,3.85E+01
56,Mantidactylus_melanopleura_b12,1.06E+03,3.47E+04,5.23E+02,3.28E+01
57,Mimophis_mahfalensis_1,2.36E+01,6.61E+02,6.50E+01,2.81E+01
58,Mimophis_occultus_2,1.77E+02,8.17E+04,1.15E+03,4.63E+02
59,Oplurus_cuvieri_6,3.57E+02,8.60E+03,1.96E+02,2.41E+01
60,Phelsuma_lineata_north,4.83E+02,1.42E+05,1.00E+03,2.94E+02
61,Phelsuma_lineata_south,1.14E+02,5.11E+04,1.19E+03,4.50E+02
62,Platypelis_tuberifera_a6,9.79E+02,6.32E+04,6.64E+02,6.46E+01
63,Pyxis_arachnoides_22,2.94E+01,4.25E+03,2.20E+02,1.45E+02
64,Scaphiophryne_gottlebei_65,8.54E+02,6.96E+03,1.88E+02,8.15E+00
65,Zonosaurus_madagascariensis_1,6.51E+02,2.36E+05,1.35E+03,3.62E+02